profile_id,serial_number,start_date,end_date,source_start_level,source_end_level,initial_fill_percent,end_fill_percent,delta_fill_percent,fill_rate_percent_per_hour
77,1510830,2018-10-08,2018-10-09,4,8,40,80,40,1.66666666667
78,1510830,2018-10-10,2018-10-11,0,0,0,0,0,0
79,1510830,2018-10-11,2018-10-12,0,4,0,40,40,1.66666666667
80,1510830,2018-10-12,2018-10-13,4,6,40,60,20,0.833333333333
81,1510830,2018-10-14,2018-10-15,0,4,0,40,40,1.66666666667
82,1510830,2018-10-15,2018-10-16,4,4,40,40,0,0
83,1510830,2018-10-16,2018-10-17,4,4,40,40,0,0
84,1510830,2018-10-17,2018-10-18,4,8,40,80,40,1.66666666667
85,1510830,2018-10-19,2018-10-20,0,4,0,40,40,1.66666666667
86,1510830,2018-10-20,2018-10-21,4,8,40,80,40,1.66666666667
87,1510830,2018-10-22,2018-10-23,0,0,0,0,0,0
88,1510830,2018-10-23,2018-10-24,0,0,0,0,0,0
89,1510830,2018-10-24,2018-10-25,0,4,0,40,40,1.66666666667
90,1510830,2018-10-25,2018-10-26,4,8,40,80,40,1.66666666667
91,1510830,2018-10-27,2018-10-28,0,2,0,20,20,0.833333333333
92,1510830,2018-10-28,2018-10-29,2,6,20,60,40,1.66666666667
93,1510830,2018-10-30,2018-10-31,0,0,0,0,0,0
94,1510830,2018-10-31,2018-11-01,0,4,0,40,40,1.66666666667
95,1510830,2018-11-01,2018-11-02,4,6,40,60,20,0.833333333333
96,1510830,2018-11-03,2018-11-04,0,6,0,60,60,2.5
97,1510830,2018-11-05,2018-11-06,0,0,0,0,0,0
98,1510830,2018-11-06,2018-11-07,0,0,0,0,0,0
99,1510830,2018-11-07,2018-11-08,0,4,0,40,40,1.66666666667
100,1510830,2018-11-08,2018-11-09,4,6,40,60,20,0.833333333333
101,1510830,2018-11-29,2018-11-30,4,6,40,60,20,0.833333333333
102,1510830,2018-12-01,2018-12-02,0,2,0,20,20,0.833333333333
103,1510830,2018-12-03,2018-12-04,0,0,0,0,0,0
104,1510830,2018-12-04,2018-12-05,0,0,0,0,0,0
105,1510830,2018-12-05,2018-12-06,0,4,0,40,40,1.66666666667
106,1510830,2018-12-06,2018-12-07,4,10,40,100,60,2.5
107,1510830,2018-12-08,2018-12-09,0,0,0,0,0,0
108,1510830,2018-12-09,2018-12-10,0,0,0,0,0,0
109,1510830,2018-12-10,2018-12-11,0,0,0,0,0,0
110,1510830,2018-12-11,2018-12-12,0,4,0,40,40,1.66666666667
111,1510830,2018-12-15,2018-12-16,0,0,0,0,0,0
112,1510830,2018-12-16,2018-12-17,0,2,0,20,20,0.833333333333
113,1510830,2018-12-17,2018-12-18,2,2,20,20,0,0
114,1510830,2018-12-26,2018-12-27,2,6,20,60,40,1.66666666667
115,1510830,2018-12-27,2018-12-28,6,6,60,60,0,0
116,1510830,2018-12-28,2018-12-29,6,6,60,60,0,0
117,1510830,2018-12-29,2018-12-30,6,6,60,60,0,0
118,1510830,2018-12-31,2019-01-01,0,0,0,0,0,0
119,1510830,2019-01-01,2019-01-02,0,0,0,0,0,0
120,1510830,2019-01-02,2019-01-03,0,0,0,0,0,0
121,1510830,2019-01-03,2019-01-04,0,0,0,0,0,0
122,1510830,2019-01-04,2019-01-05,0,0,0,0,0,0
123,1510830,2019-01-05,2019-01-06,0,0,0,0,0,0
124,1510830,2019-01-06,2019-01-07,0,0,0,0,0,0
125,1510830,2019-01-07,2019-01-08,0,2,0,20,20,0.833333333333
126,1510830,2019-01-08,2019-01-09,2,2,20,20,0,0
127,1510830,2019-01-09,2019-01-10,2,2,20,20,0,0
128,1510830,2019-01-30,2019-01-31,6,6,60,60,0,0
129,1510830,2019-02-21,2019-02-22,2,6,20,60,40,1.66666666667
130,1510830,2019-02-23,2019-02-24,0,6,0,60,60,2.5
131,1510830,2019-02-25,2019-02-26,0,0,0,0,0,0
132,1510830,2019-02-28,2019-03-01,8,8,80,80,0,0
133,1510830,2019-03-02,2019-03-03,0,0,0,0,0,0
134,1510830,2019-03-03,2019-03-04,0,4,0,40,40,1.66666666667
135,1510830,2019-03-04,2019-03-05,4,4,40,40,0,0
136,1510830,2019-03-05,2019-03-06,4,6,40,60,20,0.833333333333
137,1510830,2019-03-07,2019-03-08,0,4,0,40,40,1.66666666667
138,1510830,2019-03-08,2019-03-09,4,8,40,80,40,1.66666666667
139,1510830,2019-03-10,2019-03-11,0,0,0,0,0,0
