topology,runs,converged_runs,right_censored_runs,convergence_fraction,median_observed_event_time_episodes,km_median_episodes,rmst_to_1280_episodes,median_abs_final_reward_slope,median_abs_phase_component,median_abs_phase_demeaned_residual,median_abs_cycle_mean_trend,median_abs_validation_reward_trend,median_abs_validation_distance_trend
manhattan,5,5,0,1.0,256.0,256.0,288.0,0.00046480419797528653,0.0008946566164858945,0.00038575503353152705,0.0006376659805870753,9.528170737436355e-05,6.246529705719128e-05
superblock,5,5,0,1.0,288.0,288.0,358.4,0.0016671664312750691,0.001916453796762924,0.00027085819941986914,0.0004027843965334442,0.00012268974608260205,2.4035166417950986e-05
hex,5,5,0,1.0,256.0,256.0,262.4,0.0014852646834437003,0.0005706210501795612,0.0007114056507305674,0.00035560513813938713,9.067315425255836e-05,5.8636865342214957e-05
radial_concentric,5,4,1,0.8,400.0,544.0,582.4,0.0020164061792200053,0.0015796193200913774,0.0007285727243664658,0.0005419731824361056,0.00014844705477273635,5.453594566786079e-05
