episode_completed,reward_slope,loss_slope,greedy_fuel_relative_change,reward_stable,loss_stable,greedy_stable,natural_termination_ok,criteria_met,consecutive_stable_checks
300,-1.7741912167638973,0.019951444896067125,0.5755896618771775,False,False,False,True,False,0
350,1.0592784041007406,-0.010926350460490161,0.25295653119905526,False,False,False,True,False,0
400,1.2117122613622442,-0.01688683986753159,0.27601897501843464,False,False,False,True,False,0
450,0.2311310709978672,-0.004845164856090322,0.13521150229650533,False,False,False,True,False,0
500,0.12227621557708135,-0.0001536728517152185,0.053390484418589866,False,True,False,True,False,0
550,-0.09178801153876366,-2.8635445088798797e-05,0.0027200438622478045,True,True,True,True,True,1
600,0.016880202518311065,5.750874816266557e-05,0.008568474876307268,True,True,True,True,True,2
650,-0.06073513173020753,8.73264752493891e-05,0.002090585007453136,True,True,True,True,True,3
